,dataset_index,machine,shot
0,17720,east,79189
1,11613,east,65673
2,13152,east,69131
3,17659,east,78975
4,18783,east,81074
5,17121,east,77422
6,12722,east,67776
7,10314,east,62969
8,18845,east,81182
9,18422,east,80466
10,14280,east,71140
11,18710,east,80956
12,11437,east,64946
13,9682,east,62095
14,10188,east,62790
15,18515,east,80593
16,12859,east,67978
17,15347,east,73450
18,17418,east,78564
19,13621,east,70042
20,15971,east,74532
21,18071,east,79845
22,8544,east,56363
23,16656,east,75518
24,11803,east,66304
25,16079,east,74684
26,18856,east,81200
27,9903,east,62420
28,12834,east,67942
29,16266,east,74956
30,19132,east,81589
31,18608,east,80755
32,9316,east,60043
33,7821,east,55032
34,18975,east,81354
35,13003,east,68859
36,9879,east,62386
37,17699,east,79077
38,10683,east,63781
39,14871,east,72720
40,12104,east,66735
41,14926,east,72793
42,7903,east,55263
43,18203,east,80103
44,18442,east,80499
45,17316,east,77726
46,9190,east,59362
47,13363,east,69598
48,11905,east,66470
49,14166,east,70984
50,16279,east,74969
51,15354,east,73460
52,13650,east,70090
53,10877,east,64115
54,8128,east,55626
55,19131,east,81586
56,9123,east,57455
57,10254,east,62877
58,17909,east,79572
59,14059,east,70829
60,12213,east,67037
61,9029,east,57296
62,18713,east,80960
63,11138,east,64505
64,16606,east,75434
65,13950,east,70587
66,9050,east,57340
67,8555,east,56393
68,9861,east,62359
69,14277,east,71136
70,12980,east,68827
71,14418,east,71389
72,8427,east,56128
73,13271,east,69360
74,10645,east,63723
75,11686,east,65928
76,8595,east,56470
77,15345,east,73448
78,18322,east,80300
79,12849,east,67964
80,19159,east,81647
81,14397,east,71340
82,8973,east,57127
83,15323,east,73408
84,18323,east,80301
85,17338,east,77752
86,17296,east,77703
87,14150,east,70964
88,11474,east,64989
89,18390,east,80406
90,13293,east,69428
91,9608,east,61713
92,9535,east,61499
93,16850,east,76850
94,12624,east,67630
95,17502,east,78701
96,18909,east,81270
97,11571,east,65147
98,8331,east,55958
99,8599,east,56482
100,17060,east,77280
101,14673,east,72118
102,17238,east,77626
103,8648,east,56582
104,11991,east,66584
105,14017,east,70695
106,17266,east,77658
107,11487,east,65002
108,12302,east,67151
109,18047,east,79809
110,16917,east,76955
111,14653,east,71722
112,8670,east,56606
113,9239,east,59636
114,10641,east,63719
115,11386,east,64877
116,12404,east,67306
117,16169,east,74842
118,17244,east,77632
119,12083,east,66708
120,8428,east,56129
121,16830,east,76811
122,13580,east,69990
123,8739,east,56727
124,10291,east,62938
125,17392,east,78510
126,17930,east,79609
127,16292,east,74983
128,11861,east,66407
129,18209,east,80112
130,13211,east,69225
131,13467,east,69719
132,13298,east,69441
133,9254,east,59751
134,16070,east,74673
135,15969,east,74530
136,8876,east,56933
137,10174,east,62773
138,11899,east,66463
139,15269,east,73308
140,14147,east,70961
141,8959,east,57086
142,11589,east,65589
143,10119,east,62700
144,9661,east,61967
145,10670,east,63768
146,18899,east,81260
147,9172,east,59340
148,15404,east,73560
149,15902,east,74437
150,10121,east,62702
151,10266,east,62891
152,16991,east,77143
153,17012,east,77197
154,10946,east,64240
155,18863,east,81210
156,11354,east,64820
157,18668,east,80876
158,16116,east,74732
159,8158,east,55668
160,15223,east,73237
161,7827,east,55038
162,8021,east,55462
163,19097,east,81512
164,10986,east,64300
165,17255,east,77644
166,14232,east,71071
167,8095,east,55581
168,8578,east,56433
169,15600,east,73851
170,16430,east,75162
171,18793,east,81086
172,12837,east,67946
173,8411,east,56087
174,16457,east,75217
175,14075,east,70846
176,8207,east,55735
177,7825,east,55036
178,8632,east,56557
179,17934,east,79618
180,10018,east,62570
181,10781,east,63934
182,17851,east,79459
183,10850,east,64061
184,12342,east,67213
185,10617,east,63658
186,13049,east,68931
187,8771,east,56773
188,8666,east,56602
189,18772,east,81061
190,11084,east,64422
191,14043,east,70805
192,8383,east,56040
193,8687,east,56626
194,7862,east,55201
195,11143,east,64510
196,9548,east,61527
197,12225,east,67053
198,18009,east,79741
199,11723,east,66003
200,18155,east,79975
201,10183,east,62784
202,14955,east,72837
203,9965,east,62497
204,15787,east,74135
205,11074,east,64411
206,12929,east,68737
207,13547,east,69944
208,9572,east,61610
209,11169,east,64542
210,15154,east,73133
211,8597,east,56474
212,12664,east,67684
213,17724,east,79193
214,18097,east,79881
215,9598,east,61675
216,16059,east,74660
217,12453,east,67401
218,18110,east,79894
219,10673,east,63771
220,17198,east,77570
221,13044,east,68921
222,8784,east,56788
223,12773,east,67851
224,11489,east,65004
225,15110,east,73073
226,18471,east,80536
227,10261,east,62886
228,8041,east,55493
229,15317,east,73398
230,12744,east,67808
231,11573,east,65149
232,18054,east,79816
233,10581,east,63618
234,12730,east,67791
235,12113,east,66748
236,14637,east,71698
237,15544,east,73777
238,14432,east,71409
239,11274,east,64692
240,16864,east,76870
241,13541,east,69937
242,11856,east,66402
243,16623,east,75470
244,18750,east,81032
245,13485,east,69774
246,15377,east,73509
247,16690,east,75556
248,12050,east,66654
249,11557,east,65123
250,8748,east,56739
251,12206,east,67021
252,10419,east,63401
253,15380,east,73512
254,10016,east,62568
255,14842,east,72653
256,14125,east,70930
257,10569,east,63593
258,8035,east,55483
259,17929,east,79608
260,14790,east,72419
261,10671,east,63769
262,10184,east,62785
263,18897,east,81258
264,8845,east,56892
265,10431,east,63415
266,10495,east,63500
267,8250,east,55817
268,12079,east,66697
269,16404,east,75133
270,19028,east,81413
271,13433,east,69682
272,9639,east,61877
273,9238,east,59635
274,18951,east,81320
275,17923,east,79588
276,8154,east,55663
277,11290,east,64711
278,17442,east,78604
279,10329,east,63201
280,14290,east,71152
281,12924,east,68709
282,10659,east,63752
283,15765,east,74109
284,11453,east,64965
285,11696,east,65943
286,12957,east,68766
287,13639,east,70072
288,14068,east,70838
289,12835,east,67943
290,17075,east,77299
291,10597,east,63637
292,10678,east,63776
293,9503,east,61426
294,15391,east,73534
295,12840,east,67951
296,17046,east,77261
297,8058,east,55513
298,9591,east,61635
299,13851,east,70450
300,8053,east,55506
301,14027,east,70709
302,11945,east,66521
303,13633,east,70054
304,15144,east,73111
305,8065,east,55538
306,14255,east,71098
307,11265,east,64678
308,9611,east,61717
309,11490,east,65008
310,13379,east,69619
311,18207,east,80107
312,18614,east,80762
313,10908,east,64153
314,7829,east,55040
315,17581,east,78821
316,7869,east,55219
317,9017,east,57276
318,9288,east,59954
319,13840,east,70428
320,14370,east,71271
321,7844,east,55057
322,9970,east,62503
323,12034,east,66630
324,16682,east,75548
325,16741,east,75633
326,10614,east,63655
327,13415,east,69664
328,9420,east,61134
329,18872,east,81224
330,15264,east,73303
331,7816,east,55027
332,17202,east,77574
333,16123,east,74749
334,18535,east,80639
335,19052,east,81452
336,14330,east,71212
337,15190,east,73201
338,12136,east,66876
339,10342,east,63231
340,13735,east,70213
341,15737,east,74058
342,9733,east,62196
343,17517,east,78723
344,18320,east,80298
345,16492,east,75261
346,9583,east,61624
347,13092,east,69018
348,13579,east,69980
349,11805,east,66306
350,18172,east,80042
351,18223,east,80129
352,10842,east,64048
353,8243,east,55806
354,16145,east,74778
355,14240,east,71083
356,11584,east,65165
357,11124,east,64487
358,11869,east,66415
359,13692,east,70160
360,17372,east,78481
361,17261,east,77653
362,17340,east,77757
363,17638,east,78922
364,10630,east,63700
365,8746,east,56735
366,15526,east,73747
367,15421,east,73586
368,17452,east,78617
369,15038,east,72971
370,19017,east,81402
371,18505,east,80582
372,19073,east,81477
373,14178,east,70997
374,15639,east,73908
375,8776,east,56778
376,13658,east,70101
377,15372,east,73504
378,12545,east,67527
379,13957,east,70595
380,17855,east,79476
381,8209,east,55737
382,12991,east,68841
383,19118,east,81562
384,16215,east,74893
385,11232,east,64622
386,17349,east,78454
387,16073,east,74676
388,15009,east,72908
389,17878,east,79514
390,17240,east,77628
391,12017,east,66611
392,9792,east,62271
393,14438,east,71422
394,14083,east,70866
395,16890,east,76916
396,9780,east,62259
397,14385,east,71307
398,13517,east,69833
399,10165,east,62764
400,9843,east,62339
401,14934,east,72808
402,9919,east,62442
403,15522,east,73741
404,8722,east,56699
405,11841,east,66351
406,11451,east,64963
407,11742,east,66088
408,18268,east,80205
409,14493,east,71489
410,13642,east,70080
411,11708,east,65967
412,16707,east,75592
413,16947,east,77007
414,11725,east,66005
415,14106,east,70908
416,11808,east,66309
417,8120,east,55612
418,11246,east,64646
419,11561,east,65133
420,14917,east,72782
421,16805,east,76689
422,15126,east,73091
423,11118,east,64480
424,13397,east,69640
425,9613,east,61786
426,14715,east,72254
427,17963,east,79670
428,9341,east,60102
429,12164,east,66958
430,14451,east,71437
431,17969,east,79677
432,13951,east,70588
433,18631,east,80783
434,8109,east,55599
435,13059,east,68944
436,11270,east,64687
437,17011,east,77195
438,16289,east,74980
439,16802,east,76686
440,14684,east,72135
441,10417,east,63398
442,12712,east,67761
443,12705,east,67749
444,12211,east,67035
445,18598,east,80743
446,8260,east,55837
447,9306,east,60008
448,17892,east,79531
449,18520,east,80598
450,12706,east,67750
451,10736,east,63852
452,13378,east,69618
453,11779,east,66170
454,17356,east,78464
455,10911,east,64157
456,14971,east,72854
457,9746,east,62209
458,8458,east,56206
459,15204,east,73217
460,14035,east,70776
461,16414,east,75145
462,16484,east,75252
463,14034,east,70775
464,8531,east,56346
465,10135,east,62723
466,17770,east,79260
467,8126,east,55618
468,13089,east,69015
469,8669,east,56605
470,14616,east,71672
471,14111,east,70916
472,10812,east,63977
473,16450,east,75202
474,18070,east,79844
475,15292,east,73334
476,14479,east,71468
477,9481,east,61335
478,12336,east,67192
479,16314,east,75016
480,16464,east,75226
481,17093,east,77377
482,16577,east,75370
483,19047,east,81446
484,15928,east,74482
485,8516,east,56325
486,10682,east,63780
487,14507,east,71512
488,14967,east,72849
489,15756,east,74094
490,8223,east,55759
491,12193,east,67008
492,16735,east,75627
493,17990,east,79715
494,13388,east,69630
495,16625,east,75475
496,12923,east,68707
497,8847,east,56894
498,12965,east,68774
499,8027,east,55475
500,9539,east,61507
501,15340,east,73442
502,8227,east,55790
503,15280,east,73321
504,11832,east,66338
505,9712,east,62171
506,9394,east,60235
507,8050,east,55503
508,8535,east,56353
509,12435,east,67376
510,10098,east,62675
511,7958,east,55337
512,17950,east,79647
513,9958,east,62490
514,14518,east,71527
515,17679,east,79049
516,12168,east,66962
517,17968,east,79676
518,18099,east,79883
519,15693,east,73988
520,18157,east,79977
521,8319,east,55939
522,8307,east,55927
523,13928,east,70550
524,15567,east,73812
525,16646,east,75506
526,9278,east,59923
527,16558,east,75346
528,15785,east,74133
529,15447,east,73639
530,18939,east,81307
531,13135,east,69104
