,dataset_index,machine,shot
0,4244,d3d,166358
1,4545,d3d,166947
2,7333,d3d,175907
3,1500,d3d,159471
4,1767,d3d,160201
5,5574,d3d,170572
6,3604,d3d,164775
7,5675,d3d,170812
8,4320,d3d,166487
9,6259,d3d,173251
10,5082,d3d,169342
11,5038,d3d,169115
12,357,d3d,157096
13,7457,d3d,176180
14,3032,d3d,163161
15,2600,d3d,161647
16,1921,d3d,160468
17,7397,d3d,176003
18,7416,d3d,176030
19,7227,d3d,175682
20,1681,d3d,160038
21,2283,d3d,161155
22,6278,d3d,173294
23,4057,d3d,165920
24,6987,d3d,175168
25,5269,d3d,169909
26,4344,d3d,166534
27,2835,d3d,162807
28,6209,d3d,173071
29,2806,d3d,162768
30,4720,d3d,167402
31,4675,d3d,167345
32,3243,d3d,163715
33,6129,d3d,172457
34,2457,d3d,161455
35,7070,d3d,175299
36,2462,d3d,161461
37,6440,d3d,173890
38,7127,d3d,175495
39,3179,d3d,163484
40,5502,d3d,170385
41,4552,d3d,167193
42,4391,d3d,166610
43,3829,d3d,165295
44,2331,d3d,161232
45,19,d3d,156369
46,773,d3d,158041
47,6091,d3d,172371
48,945,d3d,158413
49,4657,d3d,167317
50,3218,d3d,163608
51,6648,d3d,174414
52,3842,d3d,165311
53,889,d3d,158308
54,6578,d3d,174202
55,3816,d3d,165238
56,7085,d3d,175354
57,3535,d3d,164597
58,7071,d3d,175302
59,1084,d3d,158684
60,7673,d3d,176750
61,3011,d3d,163125
62,4396,d3d,166617
63,6634,d3d,174290
64,191,d3d,156763
65,7537,d3d,176327
66,7373,d3d,175965
67,3262,d3d,163788
68,7038,d3d,175263
69,4213,d3d,166304
70,3747,d3d,165061
71,7349,d3d,175929
72,6279,d3d,173295
73,7777,d3d,176968
74,1546,d3d,159599
75,419,d3d,157196
76,6113,d3d,172425
77,5878,d3d,171490
78,1938,d3d,160491
79,1266,d3d,158999
80,1028,d3d,158594
81,3410,d3d,164266
82,4234,d3d,166330
83,770,d3d,158038
84,4305,d3d,166462
85,1434,d3d,159379
86,3806,d3d,165184
87,4970,d3d,168867
88,1977,d3d,160563
89,729,d3d,157970
90,3796,d3d,165170
91,1494,d3d,159464
92,8,d3d,156358
93,3141,d3d,163439
94,1425,d3d,159366
95,699,d3d,157917
96,3132,d3d,163428
97,775,d3d,158043
98,560,d3d,157537
99,4217,d3d,166310
100,4021,d3d,165852
101,4962,d3d,168830
102,2525,d3d,161545
103,2578,d3d,161623
104,5297,d3d,169981
105,5770,d3d,171172
106,3076,d3d,163236
107,5941,d3d,171636
108,6850,d3d,174865
109,4196,d3d,166175
110,3977,d3d,165670
111,4301,d3d,166456
112,5122,d3d,169437
113,4741,d3d,167424
114,2034,d3d,160688
115,231,d3d,156836
116,4967,d3d,168849
117,2334,d3d,161237
118,3825,d3d,165286
119,5357,d3d,170092
120,1624,d3d,159789
121,6823,d3d,174827
122,4887,d3d,168551
123,7614,d3d,176519
124,7118,d3d,175481
125,3526,d3d,164576
126,2064,d3d,160784
127,7007,d3d,175203
128,1086,d3d,158686
129,4148,d3d,166103
130,1926,d3d,160474
131,2057,d3d,160718
132,1615,d3d,159745
133,3440,d3d,164323
134,188,d3d,156760
135,6973,d3d,175148
136,828,d3d,158156
137,461,d3d,157295
138,7513,d3d,176267
139,5020,d3d,169071
140,5901,d3d,171573
141,7658,d3d,176732
142,6037,d3d,172104
143,1021,d3d,158544
144,7452,d3d,176101
145,2588,d3d,161635
146,1087,d3d,158687
147,5550,d3d,170450
148,4756,d3d,167445
149,3741,d3d,165054
150,7516,d3d,176286
151,219,d3d,156815
152,1098,d3d,158698
153,1550,d3d,159607
154,3615,d3d,164798
155,2665,d3d,162275
156,4345,d3d,166535
157,7292,d3d,175833
158,6296,d3d,173374
159,141,d3d,156675
160,1282,d3d,159017
161,3538,d3d,164600
162,2427,d3d,161403
163,1155,d3d,158817
164,4843,d3d,167565
165,5629,d3d,170731
166,1562,d3d,159642
167,3018,d3d,163144
168,4243,d3d,166357
169,4473,d3d,166827
170,738,d3d,157987
171,2618,d3d,162177
172,7407,d3d,176015
173,2349,d3d,161257
174,3677,d3d,164911
175,2602,d3d,161649
176,1777,d3d,160212
177,4690,d3d,167367
178,1185,d3d,158900
179,469,d3d,157305
180,3412,d3d,164268
181,6100,d3d,172403
182,579,d3d,157563
183,882,d3d,158299
184,2315,d3d,161206
185,5745,d3d,171112
186,3271,d3d,163797
187,4827,d3d,167539
188,6287,d3d,173317
189,2545,d3d,161573
190,4990,d3d,168956
191,35,d3d,156417
192,2213,d3d,161048
193,973,d3d,158458
194,5626,d3d,170728
195,4735,d3d,167418
196,3393,d3d,164242
197,3387,d3d,164218
198,4105,d3d,166034
199,299,d3d,156923
200,2415,d3d,161390
201,3183,d3d,163488
202,3270,d3d,163796
203,5267,d3d,169907
204,4588,d3d,167233
205,7176,d3d,175566
206,4034,d3d,165869
207,210,d3d,156796
208,1488,d3d,159458
209,4251,d3d,166387
210,3740,d3d,165053
211,4831,d3d,167547
212,886,d3d,158305
213,6703,d3d,174588
214,4927,d3d,168752
215,6771,d3d,174701
216,1378,d3d,159294
217,3665,d3d,164886
218,5044,d3d,169122
219,6808,d3d,174797
220,5170,d3d,169545
221,5595,d3d,170606
222,2418,d3d,161393
223,89,d3d,156560
224,5413,d3d,170243
225,4529,d3d,166922
226,7794,d3d,176995
227,658,d3d,157790
228,2964,d3d,163039
